#Term,Coding,strong,akt/pass,Wortart,Emotion 1,Emotion 2
Adjektive,,,,,,
Hoffnung,F_POS,strong,,nomen,Erwartung,
Hoffnungslosigkeit,F_NEG,strong,,nomen,Traurigkeit,
Inbrunst,F_POS,strong,aktiv,nomen,Vertrauen,
Innigkeit,F_POS,strong,,nomen,Vertrauen,
Interesse ,,,,nomen,Erwartung,
Interesselosigkeit,F_NEG,,,nomen,Ekel,
Intimität,F_POS,,,nomen,Vertrauen,
Irritation,,,,nomen,Überraschung,Ärger
Kindlichkeit,F_NEG,,,nomen,Freude,
Kummer,F_NEG,,,nomen,Traurigkeit,
Kurzschlußtat,F_NEG,,,nomen,Überraschung,
Langeweile,,,,nomen,Ekel,
Lebensfreude,F_POS,strong,aktiv,nomen,Freude,
Leidenschaft,F_POS,strong,aktiv,nomen,Freude,
Leidensdruck,F_NEG,,,nomen,Ärger,
Lesevergnügen,F_POS,,,nomen,Freude,
Liebe,F_POS,strong,,nomen,Vertrauen,Freude
Liebesbeziehung,F_POS,strong,aktiv,nomen,Vertrauen,
Liebeskummer,F_NEG,strong,,nomen,Traurigkeit,
Lieblosigkeit,,,,nomen,Ekel,
Lustigkeit,,,,nomen,Freude,
Lustlosigkeit,F_NEG,,,nomen,Ekel,
Männerhaß,F_NEG,strong,aktiv,nomen,Ekel,
Melancholie,,,,nomen,Traurigkeit,
Missachtung,,,,nomen,Ekel,
Missbehagen,F_NEG,,,nomen,Ekel,
Mißbehagen,F_NEG,,,nomen,Ekel,
Missbilligung,,,,nomen,Ekel,
Mißfallen,F_NEG,,,nomen,Ärger,
Missfallen,,,,nomen,Ärger,
Missmut,F_NEG,,aktiv,nomen,Ärger,
Mißmut,F_NEG,,,nomen,Ärger,
Misstrauen,F_NEG,,,nomen,Furcht,
Mißtrauen,F_NEG,,,nomen,Furcht,
Mißvergnügen,F_NEG,,,nomen,Ärger,
Missvergnügen,F_NEG,,,nomen,Ärger,
Mitempfindung,F_POS,,aktiv,nomen,Vertrauen,
Mitgefühl,F_POS,,,nomen,Vertrauen,
Mitleid,F_POS,,,nomen,Traurigkeit,
Motivation,,,,nomen,Freude,Erwartung
Muffe,F_NEG,,,nomen,Furcht,
Muffensausen,F_NEG,,,nomen,Furcht,
Mut,,,,nomen,Vertrauen,
Mutlosigkeit,,,,nomen,Furcht,
Nächstenliebe,F_POS,,,nomen,Vertrauen,
Naturschönheit,F_POS,,,nomen,Freude,
Neid,F_NEG,strong,,nomen,Ärger,
Nervosität,F_NEG,,,nomen,Furcht,
Neugier,,,,nomen,Erwartung,
Neugierde,F_POS,,,nomen,Erwartung,
Niedergeschlagenheit,F_NEG,,,nomen,Traurigkeit,
Ohnmachtsgefühl,F_NEG,strong,,nomen,Traurigkeit,Furcht
Optimismus,,,,nomen,Freude,Erwartung
Panik,,,,nomen,Furcht,
