word	valence_mean	valence_sd	arousal_mean	arousal_sd	concreteness_mean	concreteness_sd	frequency	number_of_letters	number_of_syllables
Fratze	3.750000	2.174893	5.666667	2.409658	4.746032	2.711792	15	6	2
Freibad	6.079365	2.034395	3.703125	2.143130	2.333333	2.047816	13	7	1
Freiheit	7.396825	2.556079	6.619048	2.405830	8.065574	1.973735	9	8	2
Freude	6.809524	2.558081	7.015625	2.387083	7.666667	2.125119	9	6	2
Freund	6.937500	2.587362	7.111111	2.215132	4.730159	2.846653	9	6	1
Frieden	7.265625	2.829786	6.349206	2.489713	8.290323	1.497398	9	7	2
Frische	6.269841	2.237556	3.761905	2.298066	6.920635	2.119811	13	7	2
Frosch	4.937500	1.232818	3.096774	2.078064	1.460318	0.799706	13	6	1
Frucht	5.968750	1.935211	5.171875	2.664015	2.500000	2.366086	13	6	1
Fr¸hling	7.000000	2.642750	5.698413	2.691893	5.822581	3.038141	11	8	2
Frust	3.421875	2.287334	5.825397	2.472688	8.064516	1.212922	12	5	1
F¸lle	5.079365	1.451380	3.687500	2.188534	6.919355	2.328008	11	5	2
Funzel	4.796875	1.404976	3.333333	2.286002	3.564516	2.413222	18	6	2
Furcht	3.453125	2.403237	6.838710	2.026008	7.645161	2.120136	11	6	1
Furie	3.619048	2.210157	6.343750	2.048761	5.704918	2.703974	16	5	2
Furz	3.484375	2.246636	5.640625	2.464782	3.746032	2.687896	17	4	1
Futter	5.296875	1.164006	2.596774	1.979068	2.460318	1.692730	12	6	2
Gabel	5.187500	0.814063	2.142857	1.522489	1.190476	0.470317	14	5	2
Gaffer	3.734375	1.904399	5.781250	2.353442	4.825397	2.556079	16	6	2
Galgen	2.803279	2.767789	5.822581	2.645901	1.571429	0.855990	14	6	2
Galle	3.859375	2.014765	4.507937	2.638872	3.206349	2.541010	15	5	2
Gang	5.140625	0.973738	2.483871	1.853149	4.126984	2.779487	10	4	1
Garn	5.234375	0.583971	2.098361	1.841240	2.015873	1.736627	15	4	1
Gasse	5.000000	1.221501	2.951613	2.052008	3.048387	2.271906	13	5	2
Gatte	5.656250	1.565691	3.983871	2.446087	4.145161	2.578898	13	5	2
Geb‰ck	6.062500	1.717094	3.234375	2.180303	2.000000	1.305725	14	6	2
Geb‰lk	5.046875	1.338439	2.555556	1.775985	3.129032	2.272313	15	6	2
Gebiet	4.953125	0.785376	2.145161	1.607837	4.714286	2.819452	9	6	2
Gebiss	4.218750	1.240440	3.437500	2.076895	1.698413	1.252545	16	6	2
Gebrauch	5.031250	0.975392	2.301587	1.854680	6.888889	1.960177	11	8	2
Gebr¸ll	3.859375	1.815867	6.000000	2.039297	5.158730	2.665226	14	7	2
Geburt	6.531250	2.189214	5.396825	2.802877	3.634921	2.503556	11	6	2
Geb¸sch	5.406250	1.079664	2.790323	1.820981	2.063492	1.468739	13	7	2
Ged‰rm	3.539683	2.298845	5.781250	2.503767	3.603175	2.446457	17	6	2
